<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: commercial_tg.csv>index,市售TG编号,证据等级,品牌/商业体系,具体样品/状态,关联product_id,品牌/厂家,基材类别,材料形态,组成/产品描述,面密度(g/m²),状态/处理,典型城市用途,气氛,气体流量(mL/min),升温速率(°C/min),温度起点(°C),温度终点(°C),T5(°C),T10(°C),T50(°C),Tonset/起始分解(°C),Tmax1(°C),Tmax2(°C),最大失重速率,速率单位,残余温度(°C),残余质量(%),LOI(%),其他TG/DTG原文信息,数值来源,来源类型,来源题名,年份,DOI,来源URL,匹配范围,限制/冲突,可直接用于数值分析,检索日期
317,CTG0318,C-真实PET涂层织物TG+LOI,CPA-Al/PU coating,7.1%CPA-Al/PU/T,,,聚酯,织物,polyester textile with PU coating,,7.1%CPA-Al/PU/T,软包/涂层PET/公共内装参照,,,,,,388.0,,,,,,,,600.0,17.2,23.6,"Td,1%=315°C；T5按原文Td,5%填入。",原文Table 5 + Table 3,原始论文开放全文,Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019.0,10.3390/polym11121969,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960942/,真实聚酯涂层织物；S2辅助参照,表格同时提供Td1%，本数据库无专列，保留在说明。,是,2026-09-06
318,CTG0319,C-真实PET涂层织物TG+LOI,CPA-Al/PU coating,10.3%CPA-Al/PU/T,,,聚酯,织物,polyester textile with PU coating,,10.3%CPA-Al/PU/T,软包/涂层PET/公共内装参照,,,,,,388.0,,,,,,,,600.0,17.5,23.8,"Td,1%=321°C；T5按原文Td,5%填入。",原文Table 5 + Table 3,原始论文开放全文,Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019.0,10.3390/polym11121969,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960942/,真实聚酯涂层织物；S2辅助参照,表格同时提供Td1%，本数据库无专列，保留在说明。,是,2026-09-06
319,CTG0320,C-真实PET涂层织物TG+LOI,CPA-Al/PU coating,14.7%CPA-Al/PU/T,,,聚酯,织物,polyester textile with PU coating,,14.7%CPA-Al/PU/T,软包/涂层PET/公共内装参照,,,,,,384.0,,,,,,,,600.0,19.0,24.5,"Td,1%=317°C；T5按原文Td,5%填入。",原文Table 5 + Table 3,原始论文开放全文,Synthesis and Characterization of Aluminum 2-Carboxyethyl-Phenyl-Phosphinate and Its Flame-Retardant Application in Polyester,2019.0,10.3390/polym11121969,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960942/,真实聚酯涂层织物；S2辅助参照,表格同时提供Td1%，本数据库无专列，保留在说明。,是,2026-09-06
320,CTG0321,B-真实城市软包PET,PET upholstery + expandable graphite,Original PET - N2,,,聚酯,家具软包织物,PET upholstery fabric,,untreated,家具/座椅/公共空间软包，城市用途高相关,N2,,,,,329.6,,,,,,,,600.0,13.5,,Tend=477.9°C；T5–Tend区间失重及Tend–600°C失重原文Table 3均可追溯。,原文Table 3,Journal of Industrial Textiles原始论文,"Graphite flame retardant applied on polyester textiles: flammable, thermal and in vitro toxicological analysis",2022.0,10.1177/15280837211062056,https://journals.sagepub.com/doi/10.1177/15280837211062056,明确PET upholstery fabric；与城市软包/座椅应用直接相关,Tend是DTGA定义的PET分解结束温度，不等同Tmax。,是,2026-09-06
321,CTG0322,B-真实城市软包PET,PET upholstery + expandable graphite,PET + EG50 - N2,,,聚酯,家具软包织物,PET upholstery fabric,,expandable graphite EG50 treatment,家具/座椅/公共空间软包，城市用途高相关,N2,,,,,347.1,,,,,,,,600.0,44.5,,Tend=484.4°C；T5–Tend区间失重及Tend–600°C失重原文Table 3均可追溯。,原文Table 3,Journal of Industrial Textiles原始论文,"Graphite flame retardant applied on polyester textiles: flammable, thermal and in vitro toxicological analysis",2022.0,10.1177/15280837211062056,https://journals.sagepub.com/doi/10.1177/15280837211062056,明确PET upholstery fabric；与城市软包/座椅应用直接相关,Tend是DTGA定义的PET分解结束温度，不等同Tmax。,是,2026-09-06
322,CTG0323,B-真实城市软包PET,PET upholstery + expandable graphite,Original PET - O2,,,聚酯,家具软包织物,PET upholstery fabric,,untreated,家具/座椅/公共空间软包，城市用途高相关,O2,,,,,352.4,,,,,,,,600.0,0.6,,Tend=462.4°C；T5–Tend区间失重及Tend–600°C失重原文Table 3均可追溯。,原文Table 3,Journal of Industrial Textiles原始论文,"Graphite flame retardant applied on polyester textiles: flammable, thermal and in vitro toxicological analysis",2022.0,10.1177/15280837211062056,https://journals.sagepub.com/doi/10.1177/15280837211062056,明确PET upholstery fabric；与城市软包/座椅应用直接相关,Tend是DTGA定义的PET分解结束温度，不等同Tmax。,是,2026-09-06
323,CTG0324,B-真实城市软包PET,PET upholstery + expandable graphite,PET + EG50 - O2,,,聚酯,家具软包织物,PET upholstery fabric,,expandable graphite EG50 treatment,家具/座椅/公共空间软包，城市用途高相关,O2,,,,,316.3,,,,,,,,600.0,35.7,,Tend=444.3°C；T5–Tend区间失重及Tend–600°C失重原文Table 3均可追溯。,原文Table 3,Journal of Industrial Textiles原始论文,"Graphite flame retardant applied on polyester textiles: flammable, thermal and in vitro toxicological analysis",2022.0,10.1177/15280837211062056,https://journals.sagepub.com/doi/10.1177/15280837211062056,明确PET upholstery fabric；与城市软包/座椅应用直接相关,Tend是DTGA定义的PET分解结束温度，不等同Tmax。,是,2026-09-06
324,CTG0325,B-真实再生PET织物,rPET + P/N/lignin coating,rPET,,,聚酯,织物,recycled PET fabric,,untreated rPET,再生PET窗帘/软包/服装/公共空间可持续纺织参照,air,,,,,,,,,436.5,597.7,,,800.0,0.95,26.0,"Tp,L（如有）/Tp1/Tp2按原文Table 4保存；LOI来自Table 7。",原文Table 4 + Table 7,ACS Omega原始论文开放全文,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026.0,10.1021/acsomega.6c00738,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280842/,真实rPET织物；S2及城市再生聚酯高相关,LOI原文含SD；本数值栏保存均值，原始误差可回溯正文。,是,2026-09-06
325,CTG0326,B-真实再生PET织物,rPET + P/N/lignin coating,L0,,,聚酯,织物,recycled PET fabric,,P-FR/PVA/CA/sericin coating; lignin=0% owf,再生PET窗帘/软包/服装/公共空间可持续纺织参照,air,,,,,,,,,427.2,548.5,,,800.0,8.25,31.1,"Tp,L（如有）/Tp1/Tp2按原文Table 4保存；LOI来自Table 7。",原文Table 4 + Table 7,ACS Omega原始论文开放全文,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026.0,10.1021/acsomega.6c00738,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280842/,真实rPET织物；S2及城市再生聚酯高相关,LOI原文含SD；本数值栏保存均值，原始误差可回溯正文。,是,2026-09-06
326,CTG0327,B-真实再生PET织物,rPET + P/N/lignin coating,L1,,,聚酯,织物,recycled PET fabric,,P-FR/PVA/CA/sericin coating; lignin=1% owf,再生PET窗帘/软包/服装/公共空间可持续纺织参照,air,,,,,,,,,427.5,564.2,,,800.0,6.23,37.5,"Tp,L（如有）/Tp1/Tp2按原文Table 4保存；LOI来自Table 7。",原文Table 4 + Table 7,ACS Omega原始论文开放全文,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026.0,10.1021/acsomega.6c00738,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280842/,真实rPET织物；S2及城市再生聚酯高相关,LOI原文含SD；本数值栏保存均值，原始误差可回溯正文。,是,2026-09-06
327,CTG0328,B-真实再生PET织物,rPET + P/N/lignin coating,L3,,,聚酯,织物,recycled PET fabric,,P-FR/PVA/CA/sericin coating; lignin=3% owf,再生PET窗帘/软包/服装/公共空间可持续纺织参照,air,,,,,,,,,304.3,431.5,,,800.0,8.32,39.4,"Tp,L（如有）/Tp1/Tp2按原文Table 4保存；LOI来自Table 7。",原文Table 4 + Table 7,ACS Omega原始论文开放全文,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026.0,10.1021/acsomega.6c00738,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280842/,真实rPET织物；S2及城市再生聚酯高相关,LOI原文含SD；本数值栏保存均值，原始误差可回溯正文。,是,2026-09-06
328,CTG0329,B-真实再生PET织物,rPET + P/N/lignin coating,L5,,,聚酯,织物,recycled PET fabric,,P-FR/PVA/CA/sericin coating; lignin=5% owf,再生PET窗帘/软包/服装/公共空间可持续纺织参照,air,,,,,,,,,300.5,426.5,,,800.0,10.15,47.0,"Tp,L（如有）/Tp1/Tp2按原文Table 4保存；LOI来自Table 7。",原文Table 4 + Table 7,ACS Omega原始论文开放全文,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026.0,10.1021/acsomega.6c00738,https://pmc.ncbi.nlm.nih.gov/articles/PMC13280842/,真实rPET织物；S2及城市再生聚酯高相关,LOI原文含SD；本数值栏保存均值，原始误差可回溯正文。,是,2026-09-06
329,CTG0330,C-高质量真实PET织物TG+LOI,P-FR/sericin/Si-FR intumescent coating,Control,,,聚酯,织物,alkaline-treated PET fabric,,Control,窗帘/软包/公共空间可持续阻燃PET参照,air,,10,25.0,800.0,,404.8,,,439.5,575.2,,,800.0,0.3,21.1,Table 6给出各阶段DTG峰及速率；LOI为洗前均值，洗后值另有Table 10。,原文Table 6 + Table 10,原始论文开放全文,"Sustainable Intumescent Flame-Retardant Coating with Sericin, Phosphorus, and Silicon for Polyester Fabrics",2026.0,10.3390/polym18060682,https://pmc.ncbi.nlm.nih.gov/articles/PMC13030323/,真实PET织物；城市室内纺织高相关,LOI原文以mean±SD报告，此处只填均值。,是,2026-09-06
330,CTG0331,C-高质量真实PET织物TG+LOI,P-FR/sericin/Si-FR intumescent coating,OP10,,,聚酯,织物,alkaline-treated PET fabric,,OP10,窗帘/软包/公共空间可持续阻燃PET参照,air,,10,25.0,800.0,,367.7,,,245.2,435.5,,,800.0,6.3,32.2,Table 6给出各阶段DTG峰及速率；LOI为洗前均值，洗后值另有Table 10。,原文Table 6 + Table 10,原始论文开放全文,"Sustainable Intumescent Flame-Retardant Coating with Sericin, Phosphorus, and Silicon for Polyester Fabrics",2026.0,10.3390/polym18060682,https://pmc.ncbi.nlm.nih.gov/articles/PMC13030323/,真实PET织物；城市室内纺织高相关,LOI原文以mean±SD报告，此处只填均值。,是,2026-09-06
331,CTG0332,C-高质量真实PET织物TG+LOI,P-FR/sericin/Si-FR intumescent coating,OP10-SC,,,聚酯,织物,alkaline-treated PET fabric,,OP10-SC,窗帘/软包/公共空间可持续阻燃PET参照,air,,10,25.0,800.0,,352.8,,,242.3,427.8,,,800.0,7.3,31.3,Table 6给出各阶段DTG峰及速率；LOI为洗前均值，洗后值另有Table 10。,原文Table 6 + Table 10,原始论文开放全文,"Sustainable Intumescent Flame-Retardant Coating with Sericin, Phosphorus, and Silicon for Polyester Fabrics",2026.0,10.3390/polym18060682,https://pmc.ncbi.nlm.nih.gov/articles/PMC13030323/,真实PET织物；城市室内纺织高相关,LOI原文以mean±SD报告，此处只填均值。,是,2026-09-06
332,CTG0333,C-高质量真实PET织物TG+LOI,P-FR/sericin/Si-FR intumescent coating,OP10-SC-Si2,,,聚酯,织物,alkaline-treated PET fabric,,OP10-SC-Si2,窗帘/软包/公共空间可持续阻燃PET参照,air,,10,25.0,800.0,,347.0,,,244.3,432.5,,,800.0,7.5,31.7,Table 6给出各阶段DTG峰及速率；LOI为洗前均值，洗后值另有Table 10。,原文Table 6 + Table 10,原始论文开放全文,"Sustainable Intumescent Flame-Retardant Coating with Sericin, Phosphorus, and Silicon for Polyester Fabrics",2026.0,10.3390/polym18060682,https://pmc.ncbi.nlm.nih.gov/articles/PMC13030323/,真实PET织物；城市室内纺织高相关,LOI原文以mean±SD报告，此处只填均值。,是,2026-09-06
333,CTG0334,B-真实城市医用PET织物,PET/TiO2 medical textile,Pristine PET,,local manufacturer supplied PET substrate,聚酯,平纹机织物,"100% PET, 97 g/m²",97.0,pristine,医院/医疗防护/公共卫生纺织,,,,,,,,,428.0,,,,,700.0,1.6,,Final decomposition temperature=543°C；原文Table 2。,原文Table 2,原始论文开放全文,Surface Engineering of PET Fabrics with TiO2 Nanoparticles for Enhanced Antibacterial and Thermal Properties in Medical Textiles,2025.0,,https://www.mdpi.com/2673-7248/5/4/71,明确医院/medical textile使用语境；城市实际用途高相关,非阻燃专用配方，作为现实PET热响应基线。,是,2026-09-06
334,CTG0335,B-真实城市医用PET织物,PET/TiO2 medical textile,S1,,local manufacturer supplied PET substrate,聚酯,平纹机织物,"100% PET, 97 g/m²",97.0,TiO2 precursor TPOT=30 mL/L,医院/医疗防护/公共卫生纺织,,,,,,,,,438.0,,,,,700.0,11.6,,Final decomposition temperature=561°C；原文Table 2。,原文Table 2,原始论文开放全文,Surface Engineering of PET Fabrics with TiO2 Nanoparticles for Enhanced Antibacterial and Thermal Properties in Medical Textiles,2025.0,,https://www.mdpi.com/2673-7248/5/4/71,明确医院/medical textile使用语境；城市实际用途高相关,非阻燃专用配方，作为现实PET热响应基线。,是,2026-09-06
335,CTG0336,B-真实城市医用PET织物,PET/TiO2 medical textile,S2,,local manufacturer supplied PET substrate,聚酯,平纹机织物,"100% PET, 97 g/m²",97.0,TiO2 precursor TPOT=60 mL/L,医院/医疗防护/公共卫生纺织,,,,,,,,,441.0,,,,,700.0,30.5,,Final decomposition temperature=603°C；原文Table 2。,原文Table 2,原始论文开放全文,Surface Engineering of PET Fabrics with TiO2 Nanoparticles for Enhanced Antibacterial and Thermal Properties in Medical Textiles,2025.0,,https://www.mdpi.com/2673-7248/5/4/71,明确医院/medical textile使用语境；城市实际用途高相关,非阻燃专用配方，作为现实PET热响应基线。,是,2026-09-06
336,CTG0337,B-真实城市医用PET织物,PET/TiO2 medical textile,S3,,local manufacturer supplied PET substrate,聚酯,平纹机织物,"100% PET, 97 g/m²",97.0,TiO2 precursor TPOT=90 mL/L,医院/医疗防护/公共卫生纺织,,,,,,,,,437.0,,,,,700.0,46.3,,Final decomposition temperature=599°C；原文Table 2。,原文Table 2,原始论文开放全文,Surface Engineering of PET Fabrics with TiO2 Nanoparticles for Enhanced Antibacterial and Thermal Properties in Medical Textiles,2025.0,,https://www.mdpi.com/2673-7248/5/4/71,明确医院/medical textile使用语境；城市实际用途高相关,非阻燃专用配方，作为现实PET热响应基线。,是,2026-09-06
337,CTG0338,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,U,,,芳纶,织物,aramid fabric,,untreated,消防/应急救援/高温防护服参照,N2,,,,,,,,,480.94,,,,,,,原文TGA characteristic temperature=448.97°C，对应remaining weight=92.9%；DTG characteristic temperature=480.94°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
338,CTG0339,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,UC,,,芳纶,织物,aramid fabric,,untreated plasma; P-F coating,消防/应急救援/高温防护服参照,N2,,,,,,,,,481.63,,,,,,,原文TGA characteristic temperature=444.89°C，对应remaining weight=86.4%；DTG characteristic temperature=481.63°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
339,CTG0340,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,UCW10,,,芳纶,织物,aramid fabric,,UC after 10 washing cycles,消防/应急救援/高温防护服参照,N2,,,,,,,,,479.68,,,,,,,原文TGA characteristic temperature=440.3°C，对应remaining weight=85.8%；DTG characteristic temperature=479.68°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
340,CTG0341,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,P,,,芳纶,织物,aramid fabric,,plasma-treated,消防/应急救援/高温防护服参照,N2,,,,,,,,,475.97,,,,,,,原文TGA characteristic temperature=445.58°C，对应remaining weight=92.5%；DTG characteristic temperature=475.97°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
341,CTG0342,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,PC,,,芳纶,织物,aramid fabric,,plasma + P-F coating,消防/应急救援/高温防护服参照,N2,,,,,,,,,482.99,,,,,,,原文TGA characteristic temperature=448.87°C，对应remaining weight=90.0%；DTG characteristic temperature=482.99°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
342,CTG0343,C-真实芳纶织物耐久状态,plasma-induced P/F grafted aramid,PCW10,,,芳纶,织物,aramid fabric,,PC after 10 washing cycles,消防/应急救援/高温防护服参照,N2,,,,,,,,,481.74,,,,,,,原文TGA characteristic temperature=447.03°C，对应remaining weight=89.7%；DTG characteristic temperature=481.74°C。,原文Table 3,原始论文开放全文,Durable Flame-Resistant and Ultra-Hydrophobic Aramid Fabrics via Plasma-Induced Graft Polymerization,2020.0,10.3390/coatings10121257,https://www.mdpi.com/2079-6412/10/12/1257,真实芳纶织物，含10次洗涤状态；S1高相关,原文“TGA temperature”定义不是标准T5/T10，因此只在说明保留；DTG温度填入Tmax栏。,是,2026-09-06
343,CTG0344,C-真实PET织物TG+LOI,urea/phosphoric acid/silica-sol PET,PO1,,,聚酯,织物,PET fabric,,untreated,PET功能/内装纺织阻燃参照,N2,30.0,10,25.0,750.0,,,,,,,,,750.0,1.8,20.0,TGA正文：PO1最终char≈1.8%；PO2=28.7%、PO3=34.8%、PO4=32%、PO5=31.2%。,原文TGA正文 + Table 3 LOI,Journal of Industrial Textiles原始论文,"Optimization of mechanical, thermal, and ignition properties of polyester fabric using urea and phosphoric acid",2020.0,10.1177/1528083718798636,https://journals.sagepub.com/doi/10.1177/1528083718798636,真实PET织物；S2辅助参照,最终残余来自TGA正文而非独立TGA表；测试终温750°C，因此作为R750保存。,是,2026-09-06
344,CTG0345,C-真实PET织物TG+LOI,urea/phosphoric acid/silica-sol PET,PO2,,,聚酯,织物,PET fabric,,UV/ozone + sol coating,PET功能/内装纺织阻燃参照,N2,30.0,10,25.0,750.0,,,,,,,,,750.0,28.7,23.5,TGA正文：PO1最终char≈1.8%；PO2=28.7%、PO3=34.8%、PO4=32%、PO5=31.2%。,原文TGA正文 + Table 3 LOI,Journal of Industrial Textiles原始论文,"Optimization of mechanical, thermal, and ignition properties of polyester fabric using urea and phosphoric acid",2020.0,10.1177/1528083718798636,https://journals.sagepub.com/doi/10.1177/1528083718798636,真实PET织物；S2辅助参照,最终残余来自TGA正文而非独立TGA表；测试终温750°C，因此作为R750保存。,是,2026-09-06
345,CTG0346,C-真实PET织物TG+LOI,urea/phosphoric acid/silica-sol PET,PO3,,,聚酯,织物,PET fabric,,UV/ozone + urea primary layer + sol coating; no phosphoric acid,PET功能/内装纺织阻燃参照,N2,30.0,10,25.0,750.0,,,,,,,,,750.0,34.8,28.5,TGA正文：PO1最终char≈1.8%；PO2=28.7%、PO3=34.8%、PO4=32%、PO5=31.2%。,原文TGA正文 + Table 3 LOI,Journal of Industrial Textiles原始论文,"Optimization of mechanical, thermal, and ignition properties of polyester fabric using urea and phosphoric acid",2020.0,10.1177/1528083718798636,https://journals.sagepub.com/doi/10.1177/1528083718798636,真实PET织物；S2辅助参照,最终残余来自TGA正文而非独立TGA表；测试终温750°C，因此作为R750保存。,是,2026-09-06
346,CTG0347,C-真实PET织物TG+LOI,urea/phosphoric acid/silica-sol PET,PO4,,,聚酯,织物,PET fabric,,sol/urea/phosphoric-acid formulation,PET功能/内装纺织阻燃参照,N2,30.0,10,25.0,750.0,,,,,,,,,750.0,32.0,21.0,TGA正文：PO1最终char≈1.8%；PO2=28.7%、PO3=34.8%、PO4=32%、PO5=31.2%。,原文TGA正文 + Table 3 LOI,Journal of Industrial Textiles原始论文,"Optimization of mechanical, thermal, and ignition properties of polyester fabric using urea and phosphoric acid",2020.0,10.1177/1528083718798636,https://journals.sagepub.com/doi/10.1177/1528083718798636,真实PET织物；S2辅助参照,最终残余来自TGA正文而非独立TGA表；测试终温750°C，因此作为R750保存。,是,2026-09-06
347,CTG0348,C-真实PET织物TG+LOI,urea/phosphoric acid/silica-sol PET,PO5,,,聚酯,织物,PET fabric,,sol/urea/phosphoric-acid formulation,PET功能/内装纺织阻燃参照,N2,30.0,10,25.0,750.0,,,,,,,,,750.0,31.2,20.8,TGA正文：PO1最终char≈1.8%；PO2=28.7%、PO3=34.8%、PO4=32%、PO5=31.2%。,原文TGA正文 + Table 3 LOI,Journal of Industrial Textiles原始论文,"Optimization of mechanical, thermal, and ignition properties of polyester fabric using urea and phosphoric acid",2020.0,10.1177/1528083718798636,https://journals.sagepub.com/doi/10.1177/1528083718798636,真实PET织物；S2辅助参照,最终残余来自TGA正文而非独立TGA表；测试终温750°C，因此作为R750保存。,是,2026-09-06
348,CTG0349,C-高质量真实PET阻燃织物,DOPO-APTES phosphorus-siloxane hybrid,PET fabric - 15% loading,,,聚酯,织物,PET fabric,,"DOPO-APTES, 15% loading",PET内装/窗帘/交通纺织阻燃参照,,,,,,,,,,,,,,800.0,18.2,26.0,摘要明确15% loading时LOI=26%，800°C char residue=18.2%，无熔滴。,出版社摘要明确数值,Materialia原始论文,Synergistic phosphorus-siloxane hybrids for concurrent flame retardancy and anti-dripping of PET fabrics: Mechanistic design and performance optimization,2026.0,10.1016/j.mtla.2026.102691,https://www.sciencedirect.com/science/article/abs/pii/S258915292600044X,真实PET阻燃织物；S2辅助,当前仅摘要关键TG/LOI数值，完整处理系列待全文。,是,2026-09-06
349,CTG0350,C-高质量真实PET阻燃织物,alginate/Si-P-N coating,PF-HUSC,,,聚酯,织物,polyester fabric,,optimized bio-based alginate + Si/P/N coating,PET公共内装/技术纺织阻燃参照,,,,,,,,,,,,,,700.0,35.1,35.3,摘要：PF-HUSC在700°C保留35.1% char，LOI=35.3±0.3%。,出版社摘要明确数值,International Journal of Biological Macromolecules原始论文,"Bio-based alginate and Si-, P- and N-containing compounds cooperate toward flame-retardant modification of polyester fabrics",2024.0,,https://www.sciencedirect.com/science/article/abs/pii/S0141813023060208,真实PET织物；S2高价值辅助,当前只录优化样；系列其他状态待全文表格提取。,是,2026-09-06
350,CTG0351,C-聚酯纤维/共聚体系辅助,P-containing co-PET / SiO2,PETP,,,聚酯,共聚酯/纤维前驱体（辅助）,phosphorus-containing flame-retardant co-polyester / SiO2 series,,P-containing co-PET,阻燃聚酯纤维、窗帘及内装聚酯的机理辅助参照,air,,,,,392.0,,,,448.0,504.0,,,800.0,10.1,21.0,空气TG/DTG系统比较含磷共聚PET及SiO2改性水平。,原文TGA表格,RSC Advances原始论文,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2022.0,10.1039/D1RA07410E,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d1ra07410e,聚酯纤维级辅助，不是具体织物SKU,材料形态非完整织物，主分析需分层。,是,2026-09-06
351,CTG0352,C-聚酯纤维/共聚体系辅助,P-containing co-PET / SiO2,PETP-0.6Si,,,聚酯,共聚酯/纤维前驱体（辅助）,phosphorus-containing flame-retardant co-polyester / SiO2 series,,SiO2=0.6%,阻燃聚酯纤维、窗帘及内装聚酯的机理辅助参照,air,,,,,382.0,,,,432.0,502.0,,,800.0,11.1,24.5,空气TG/DTG系统比较含磷共聚PET及SiO2改性水平。,原文TGA表格,RSC Advances原始论文,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2022.0,10.1039/D1RA07410E,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d1ra07410e,聚酯纤维级辅助，不是具体织物SKU,材料形态非完整织物，主分析需分层。,是,2026-09-06
352,CTG0353,C-聚酯纤维/共聚体系辅助,P-containing co-PET / SiO2,PETP-1Si,,,聚酯,共聚酯/纤维前驱体（辅助）,phosphorus-containing flame-retardant co-polyester / SiO2 series,,SiO2=1.0%,阻燃聚酯纤维、窗帘及内装聚酯的机理辅助参照,air,,,,,370.0,,,,424.0,497.0,,,800.0,12.1,26.0,空气TG/DTG系统比较含磷共聚PET及SiO2改性水平。,原文TGA表格,RSC Advances原始论文,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2022.0,10.1039/D1RA07410E,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d1ra07410e,聚酯纤维级辅助，不是具体织物SKU,材料形态非完整织物，主分析需分层。,是,2026-09-06
353,CTG0354,C-聚酯纤维/共聚体系辅助,P-containing co-PET / SiO2,PETP-2Si,,,聚酯,共聚酯/纤维前驱体（辅助）,phosphorus-containing flame-retardant co-polyester / SiO2 series,,SiO2=2.0%,阻燃聚酯纤维、窗帘及内装聚酯的机理辅助参照,air,,,,,353.0,,,,417.0,491.0,,,800.0,13.5,29.5,空气TG/DTG系统比较含磷共聚PET及SiO2改性水平。,原文TGA表格,RSC Advances原始论文,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2022.0,10.1039/D1RA07410E,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d1ra07410e,聚酯纤维级辅助，不是具体织物SKU,材料形态非完整织物，主分析需分层。,是,2026-09-06
354,CTG0355,C-聚酯纤维/共聚体系辅助,P-containing co-PET / SiO2,PETP-3Si,,,聚酯,共聚酯/纤维前驱体（辅助）,phosphorus-containing flame-retardant co-polyester / SiO2 series,,SiO2=3.0%,阻燃聚酯纤维、窗帘及内装聚酯的机理辅助参照,air,,,,,341.0,,,,411.0,487.0,,,800.0,15.4,31.0,空气TG/DTG系统比较含磷共聚PET及SiO2改性水平。,原文TGA表格,RSC Advances原始论文,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2022.0,10.1039/D1RA07410E,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d1ra07410e,聚酯纤维级辅助，不是具体织物SKU,材料形态非完整织物，主分析需分层。,是,2026-09-06
